,Location,Number,URL,Council District,Date Received,Last Changed Date,Expiration Date,Mover,Second,geojson,Votes
15,1140 Mahar Avenue - school,21-4118-S16,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=21-4118-S16,15,2021-10-27,2022-01-27,2024-01-21,JOE BUSCAINO,JOHN S. LEE,"[{'lat': 33.7862504, 'lng': -118.2457184}]","[{""Member Name"": ""(VACANT) (VACANT)"", ""CD"": ""10"", ""Vote"": ""ABSENT""}, {""Member Name"": ""BOB BLUMENFIELD"", ""CD"": ""3"", ""Vote"": ""YES""}, {""Member Name"": ""MIKE BONIN"", ""CD"": ""11"", ""Vote"": ""YES""}, {""Member Name"": ""JOE BUSCAINO"", ""CD"": ""15"", ""Vote"": ""NO""}, {""Member Name"": ""GILBERT A. CEDILLO"", ""CD"": ""1"", ""Vote"": ""YES""}, {""Member Name"": ""KEVIN DELEON"", ""CD"": ""14"", ""Vote"": ""YES""}, {""Member Name"": ""MARQUEECE HARRIS-DAWSON"", ""CD"": ""8"", ""Vote"": ""ABSENT""}, {""Member Name"": ""PAUL KORETZ"", ""CD"": ""5"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KREKORIAN"", ""CD"": ""2"", ""Vote"": ""YES""}, {""Member Name"": ""JOHN LEE"", ""CD"": ""12"", ""Vote"": ""YES""}, {""Member Name"": ""NURY MARTINEZ"", ""CD"": ""6"", ""Vote"": ""YES""}, {""Member Name"": ""MITCH O'FARRELL"", ""CD"": ""13"", ""Vote"": ""YES""}, {""Member Name"": ""CURREN D. PRICE"", ""CD"": ""9"", ""Vote"": ""ABSENT""}, {""Member Name"": ""NITHYA RAMAN"", ""CD"": ""4"", ""Vote"": ""YES""}, {""Member Name"": ""MONICA RODRIGUEZ"", ""CD"": ""7"", ""Vote"": ""YES""}]"
16,9880 S. Grape Street,21-4118-S18,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=21-4118-S18,15,2021-10-27,2022-01-27,2024-01-21,JOE BUSCAINO,JOHN S. LEE,"[{'lat': 39.5779878, 'lng': -104.9246976}]","[{""Member Name"": ""(VACANT) (VACANT)"", ""CD"": ""10"", ""Vote"": ""ABSENT""}, {""Member Name"": ""BOB BLUMENFIELD"", ""CD"": ""3"", ""Vote"": ""YES""}, {""Member Name"": ""MIKE BONIN"", ""CD"": ""11"", ""Vote"": ""YES""}, {""Member Name"": ""JOE BUSCAINO"", ""CD"": ""15"", ""Vote"": ""NO""}, {""Member Name"": ""GILBERT A. CEDILLO"", ""CD"": ""1"", ""Vote"": ""YES""}, {""Member Name"": ""KEVIN DELEON"", ""CD"": ""14"", ""Vote"": ""YES""}, {""Member Name"": ""MARQUEECE HARRIS-DAWSON"", ""CD"": ""8"", ""Vote"": ""ABSENT""}, {""Member Name"": ""PAUL KORETZ"", ""CD"": ""5"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KREKORIAN"", ""CD"": ""2"", ""Vote"": ""YES""}, {""Member Name"": ""JOHN LEE"", ""CD"": ""12"", ""Vote"": ""YES""}, {""Member Name"": ""NURY MARTINEZ"", ""CD"": ""6"", ""Vote"": ""YES""}, {""Member Name"": ""MITCH O'FARRELL"", ""CD"": ""13"", ""Vote"": ""YES""}, {""Member Name"": ""CURREN D. PRICE"", ""CD"": ""9"", ""Vote"": ""ABSENT""}, {""Member Name"": ""NITHYA RAMAN"", ""CD"": ""4"", ""Vote"": ""YES""}, {""Member Name"": ""MONICA RODRIGUEZ"", ""CD"": ""7"", ""Vote"": ""YES""}]"
17,836 S Herbert Avenue,21-4118-S18,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=21-4118-S18,15,2021-10-27,2022-01-27,2024-01-21,JOE BUSCAINO,JOHN S. LEE,"[{'lat': 34.024439, 'lng': -118.1837783}]","[{""Member Name"": ""(VACANT) (VACANT)"", ""CD"": ""10"", ""Vote"": ""ABSENT""}, {""Member Name"": ""BOB BLUMENFIELD"", ""CD"": ""3"", ""Vote"": ""YES""}, {""Member Name"": ""MIKE BONIN"", ""CD"": ""11"", ""Vote"": ""YES""}, {""Member Name"": ""JOE BUSCAINO"", ""CD"": ""15"", ""Vote"": ""NO""}, {""Member Name"": ""GILBERT A. CEDILLO"", ""CD"": ""1"", ""Vote"": ""YES""}, {""Member Name"": ""KEVIN DELEON"", ""CD"": ""14"", ""Vote"": ""YES""}, {""Member Name"": ""MARQUEECE HARRIS-DAWSON"", ""CD"": ""8"", ""Vote"": ""ABSENT""}, {""Member Name"": ""PAUL KORETZ"", ""CD"": ""5"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KREKORIAN"", ""CD"": ""2"", ""Vote"": ""YES""}, {""Member Name"": ""JOHN LEE"", ""CD"": ""12"", ""Vote"": ""YES""}, {""Member Name"": ""NURY MARTINEZ"", ""CD"": ""6"", ""Vote"": ""YES""}, {""Member Name"": ""MITCH O'FARRELL"", ""CD"": ""13"", ""Vote"": ""YES""}, {""Member Name"": ""CURREN D. PRICE"", ""CD"": ""9"", ""Vote"": ""ABSENT""}, {""Member Name"": ""NITHYA RAMAN"", ""CD"": ""4"", ""Vote"": ""YES""}, {""Member Name"": ""MONICA RODRIGUEZ"", ""CD"": ""7"", ""Vote"": ""YES""}]"
18,"Berth 84, Foot of 6th Street",21-4118-S19,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=21-4118-S19,15,2021-10-27,2022-01-27,2024-01-21,JOE BUSCAINO,JOHN S. LEE,"[{'lat': 33.73867, 'lng': -118.2788406}]","[{""Member Name"": ""(VACANT) (VACANT)"", ""CD"": ""10"", ""Vote"": ""ABSENT""}, {""Member Name"": ""BOB BLUMENFIELD"", ""CD"": ""3"", ""Vote"": ""YES""}, {""Member Name"": ""MIKE BONIN"", ""CD"": ""11"", ""Vote"": ""YES""}, {""Member Name"": ""JOE BUSCAINO"", ""CD"": ""15"", ""Vote"": ""NO""}, {""Member Name"": ""GILBERT A. CEDILLO"", ""CD"": ""1"", ""Vote"": ""YES""}, {""Member Name"": ""KEVIN DELEON"", ""CD"": ""14"", ""Vote"": ""YES""}, {""Member Name"": ""MARQUEECE HARRIS-DAWSON"", ""CD"": ""8"", ""Vote"": ""ABSENT""}, {""Member Name"": ""PAUL KORETZ"", ""CD"": ""5"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KREKORIAN"", ""CD"": ""2"", ""Vote"": ""YES""}, {""Member Name"": ""JOHN LEE"", ""CD"": ""12"", ""Vote"": ""YES""}, {""Member Name"": ""NURY MARTINEZ"", ""CD"": ""6"", ""Vote"": ""YES""}, {""Member Name"": ""MITCH O'FARRELL"", ""CD"": ""13"", ""Vote"": ""YES""}, {""Member Name"": ""CURREN D. PRICE"", ""CD"": ""9"", ""Vote"": ""ABSENT""}, {""Member Name"": ""NITHYA RAMAN"", ""CD"": ""4"", ""Vote"": ""YES""}, {""Member Name"": ""MONICA RODRIGUEZ"", ""CD"": ""7"", ""Vote"": ""YES""}]"
19,2500 North Taper Avenue,21-4118-S19,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=21-4118-S19,15,2021-10-27,2022-01-27,2024-01-21,JOE BUSCAINO,JOHN S. LEE,"[{'lat': 33.7668893, 'lng': -118.3019774}]","[{""Member Name"": ""(VACANT) (VACANT)"", ""CD"": ""10"", ""Vote"": ""ABSENT""}, {""Member Name"": ""BOB BLUMENFIELD"", ""CD"": ""3"", ""Vote"": ""YES""}, {""Member Name"": ""MIKE BONIN"", ""CD"": ""11"", ""Vote"": ""YES""}, {""Member Name"": ""JOE BUSCAINO"", ""CD"": ""15"", ""Vote"": ""NO""}, {""Member Name"": ""GILBERT A. CEDILLO"", ""CD"": ""1"", ""Vote"": ""YES""}, {""Member Name"": ""KEVIN DELEON"", ""CD"": ""14"", ""Vote"": ""YES""}, {""Member Name"": ""MARQUEECE HARRIS-DAWSON"", ""CD"": ""8"", ""Vote"": ""ABSENT""}, {""Member Name"": ""PAUL KORETZ"", ""CD"": ""5"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KREKORIAN"", ""CD"": ""2"", ""Vote"": ""YES""}, {""Member Name"": ""JOHN LEE"", ""CD"": ""12"", ""Vote"": ""YES""}, {""Member Name"": ""NURY MARTINEZ"", ""CD"": ""6"", ""Vote"": ""YES""}, {""Member Name"": ""MITCH O'FARRELL"", ""CD"": ""13"", ""Vote"": ""YES""}, {""Member Name"": ""CURREN D. PRICE"", ""CD"": ""9"", ""Vote"": ""ABSENT""}, {""Member Name"": ""NITHYA RAMAN"", ""CD"": ""4"", ""Vote"": ""YES""}, {""Member Name"": ""MONICA RODRIGUEZ"", ""CD"": ""7"", ""Vote"": ""YES""}]"
20,Rio De Los Angeles Park 1900 N. San Fernando Rd-Park,21-4118-S24,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=21-4118-S24,1,2021-12-08,2022-03-06,2024-01-07,GILBERT A. CEDILLO,PAUL KREKORIAN,"[{'lat': 34.0989852, 'lng': -118.2366979}]","[{""Member Name"": ""(VACANT) (VACANT)"", ""CD"": ""10"", ""Vote"": ""ABSENT""}, {""Member Name"": ""BOB BLUMENFIELD"", ""CD"": ""3"", ""Vote"": ""YES""}, {""Member Name"": ""MIKE BONIN"", ""CD"": ""11"", ""Vote"": ""NO""}, {""Member Name"": ""JOE BUSCAINO"", ""CD"": ""15"", ""Vote"": ""YES""}, {""Member Name"": ""GILBERT A. CEDILLO"", ""CD"": ""1"", ""Vote"": ""YES""}, {""Member Name"": ""KEVIN DELEON"", ""CD"": ""14"", ""Vote"": ""YES""}, {""Member Name"": ""MARQUEECE HARRIS-DAWSON"", ""CD"": ""8"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KORETZ"", ""CD"": ""5"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KREKORIAN"", ""CD"": ""2"", ""Vote"": ""YES""}, {""Member Name"": ""JOHN LEE"", ""CD"": ""12"", ""Vote"": ""YES""}, {""Member Name"": ""NURY MARTINEZ"", ""CD"": ""6"", ""Vote"": ""YES""}, {""Member Name"": ""MITCH O'FARRELL"", ""CD"": ""13"", ""Vote"": ""YES""}, {""Member Name"": ""CURREN D. PRICE"", ""CD"": ""9"", ""Vote"": ""ABSENT""}, {""Member Name"": ""NITHYA RAMAN"", ""CD"": ""4"", ""Vote"": ""NO""}, {""Member Name"": ""MONICA RODRIGUEZ"", ""CD"": ""7"", ""Vote"": ""YES""}]"
21,"20500 Sesnon Boulevard, Holleigh Bernson Memorial Park",22-4118-S7,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=22-4118-S7,12,2022-06-14,2022-06-29,2024-06-24,JOHN S. LEE,JOE BUSCAINO,"[{'lat': 34.2956666, 'lng': -118.5845411}]","[{""Member Name"": ""BOB BLUMENFIELD"", ""CD"": ""3"", ""Vote"": ""YES""}, {""Member Name"": ""MIKE BONIN"", ""CD"": ""11"", ""Vote"": ""NO""}, {""Member Name"": ""JOE BUSCAINO"", ""CD"": ""15"", ""Vote"": ""ABSENT""}, {""Member Name"": ""GILBERT A. CEDILLO"", ""CD"": ""1"", ""Vote"": ""ABSENT""}, {""Member Name"": ""KEVIN DELEON"", ""CD"": ""14"", ""Vote"": ""YES""}, {""Member Name"": ""MARQUEECE HARRIS-DAWSON"", ""CD"": ""8"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KORETZ"", ""CD"": ""5"", ""Vote"": ""ABSENT""}, {""Member Name"": ""PAUL KREKORIAN"", ""CD"": ""2"", ""Vote"": ""YES""}, {""Member Name"": ""JOHN LEE"", ""CD"": ""12"", ""Vote"": ""YES""}, {""Member Name"": ""NURY MARTINEZ"", ""CD"": ""6"", ""Vote"": ""YES""}, {""Member Name"": ""MITCH O'FARRELL"", ""CD"": ""13"", ""Vote"": ""YES""}, {""Member Name"": ""CURREN D. PRICE"", ""CD"": ""9"", ""Vote"": ""YES""}, {""Member Name"": ""NITHYA RAMAN"", ""CD"": ""4"", ""Vote"": ""NO""}, {""Member Name"": ""MONICA RODRIGUEZ"", ""CD"": ""7"", ""Vote"": ""YES""}, {""Member Name"": ""HERB WESSON"", ""CD"": ""10"", ""Vote"": ""YES""}]"
22,"25000 Kittridge Street, Knapp Ranch Park",22-4118-S7,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=22-4118-S7,12,2022-06-14,2022-06-29,2024-06-24,JOHN S. LEE,JOE BUSCAINO,"[{'lat': 34.1891221, 'lng': -118.6636683}]","[{""Member Name"": ""BOB BLUMENFIELD"", ""CD"": ""3"", ""Vote"": ""YES""}, {""Member Name"": ""MIKE BONIN"", ""CD"": ""11"", ""Vote"": ""NO""}, {""Member Name"": ""JOE BUSCAINO"", ""CD"": ""15"", ""Vote"": ""ABSENT""}, {""Member Name"": ""GILBERT A. CEDILLO"", ""CD"": ""1"", ""Vote"": ""ABSENT""}, {""Member Name"": ""KEVIN DELEON"", ""CD"": ""14"", ""Vote"": ""YES""}, {""Member Name"": ""MARQUEECE HARRIS-DAWSON"", ""CD"": ""8"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KORETZ"", ""CD"": ""5"", ""Vote"": ""ABSENT""}, {""Member Name"": ""PAUL KREKORIAN"", ""CD"": ""2"", ""Vote"": ""YES""}, {""Member Name"": ""JOHN LEE"", ""CD"": ""12"", ""Vote"": ""YES""}, {""Member Name"": ""NURY MARTINEZ"", ""CD"": ""6"", ""Vote"": ""YES""}, {""Member Name"": ""MITCH O'FARRELL"", ""CD"": ""13"", ""Vote"": ""YES""}, {""Member Name"": ""CURREN D. PRICE"", ""CD"": ""9"", ""Vote"": ""YES""}, {""Member Name"": ""NITHYA RAMAN"", ""CD"": ""4"", ""Vote"": ""NO""}, {""Member Name"": ""MONICA RODRIGUEZ"", ""CD"": ""7"", ""Vote"": ""YES""}, {""Member Name"": ""HERB WESSON"", ""CD"": ""10"", ""Vote"": ""YES""}]"
23,"Baldwin Hills Recreation Center, 5401 Highlight Pl",22-4118-S11,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=22-4118-S11,10,2022-09-30,2022-10-28,2024-10-21,HEATHER HUTT,JOE BUSCAINO,"[{'lat': 34.0241023, 'lng': -118.3640916}]","[{""Member Name"": ""(VACANT) (VACANT)"", ""CD"": ""6"", ""Vote"": ""ABSENT""}, {""Member Name"": ""BOB BLUMENFIELD"", ""CD"": ""3"", ""Vote"": ""YES""}, {""Member Name"": ""MIKE BONIN"", ""CD"": ""11"", ""Vote"": ""NO""}, {""Member Name"": ""JOE BUSCAINO"", ""CD"": ""15"", ""Vote"": ""YES""}, {""Member Name"": ""GILBERT A. CEDILLO"", ""CD"": ""1"", ""Vote"": ""ABSENT""}, {""Member Name"": ""KEVIN DELEON"", ""CD"": ""14"", ""Vote"": ""ABSENT""}, {""Member Name"": ""MARQUEECE HARRIS-DAWSON"", ""CD"": ""8"", ""Vote"": ""NO""}, {""Member Name"": ""HEATHER HUTT"", ""CD"": ""10"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KORETZ"", ""CD"": ""5"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KREKORIAN"", ""CD"": ""2"", ""Vote"": ""YES""}, {""Member Name"": ""JOHN LEE"", ""CD"": ""12"", ""Vote"": ""YES""}, {""Member Name"": ""MITCH O'FARRELL"", ""CD"": ""13"", ""Vote"": ""YES""}, {""Member Name"": ""CURREN D. PRICE"", ""CD"": ""9"", ""Vote"": ""YES""}, {""Member Name"": ""NITHYA RAMAN"", ""CD"": ""4"", ""Vote"": ""NO""}, {""Member Name"": ""MONICA RODRIGUEZ"", ""CD"": ""7"", ""Vote"": ""YES""}]"
24,11270 Exposition Blvd. (Exposition Blvd.),22-4118-S14,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=22-4118-S14,5,2022-11-08,2022-12-06,2024-12-05,PAUL KORETZ,JOHN S. LEE,"[{'lat': 34.034128, 'lng': -118.4358805}]","[{""Member Name"": ""(VACANT) (VACANT)"", ""CD"": ""6"", ""Vote"": ""ABSENT""}, {""Member Name"": ""BOB BLUMENFIELD"", ""CD"": ""3"", ""Vote"": ""YES""}, {""Member Name"": ""MIKE BONIN"", ""CD"": ""11"", ""Vote"": ""NO""}, {""Member Name"": ""JOE BUSCAINO"", ""CD"": ""15"", ""Vote"": ""YES""}, {""Member Name"": ""GILBERT A. CEDILLO"", ""CD"": ""1"", ""Vote"": ""ABSENT""}, {""Member Name"": ""KEVIN DELEON"", ""CD"": ""14"", ""Vote"": ""ABSENT""}, {""Member Name"": ""MARQUEECE HARRIS-DAWSON"", ""CD"": ""8"", ""Vote"": ""ABSENT""}, {""Member Name"": ""HEATHER HUTT"", ""CD"": ""10"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KORETZ"", ""CD"": ""5"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KREKORIAN"", ""CD"": ""2"", ""Vote"": ""YES""}, {""Member Name"": ""JOHN LEE"", ""CD"": ""12"", ""Vote"": ""YES""}, {""Member Name"": ""MITCH O'FARRELL"", ""CD"": ""13"", ""Vote"": ""YES""}, {""Member Name"": ""CURREN D. PRICE"", ""CD"": ""9"", ""Vote"": ""YES""}, {""Member Name"": ""NITHYA RAMAN"", ""CD"": ""4"", ""Vote"": ""NO""}, {""Member Name"": ""MONICA RODRIGUEZ"", ""CD"": ""7"", ""Vote"": ""YES""}]"
25,Linnie Canal Park-200 Linnie Canal,23-4118-S1,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=23-4118-S1,11,2023-01-10,2023-02-17,2025-02-10,TRACI PARK,MONICA RODRIGUEZ,"[{'lat': 33.9848813, 'lng': -118.4667446}]","[{""Member Name"": ""(VACANT) (VACANT)"", ""CD"": ""6"", ""Vote"": ""ABSENT""}, {""Member Name"": ""BOB BLUMENFIELD"", ""CD"": ""3"", ""Vote"": ""YES""}, {""Member Name"": ""KEVIN DELEON"", ""CD"": ""14"", ""Vote"": ""YES""}, {""Member Name"": ""MARQUEECE HARRIS-DAWSON"", ""CD"": ""8"", ""Vote"": ""NO""}, {""Member Name"": ""EUNISSES HERNANDEZ"", ""CD"": ""1"", ""Vote"": ""ABSENT""}, {""Member Name"": ""HEATHER HUTT"", ""CD"": ""10"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KREKORIAN"", ""CD"": ""2"", ""Vote"": ""YES""}, {""Member Name"": ""JOHN LEE"", ""CD"": ""12"", ""Vote"": ""YES""}, {""Member Name"": ""TIM MCOSKER"", ""CD"": ""15"", ""Vote"": ""YES""}, {""Member Name"": ""TRACI PARK"", ""CD"": ""11"", ""Vote"": ""YES""}, {""Member Name"": ""CURREN D. PRICE"", ""CD"": ""9"", ""Vote"": ""YES""}, {""Member Name"": ""NITHYA RAMAN"", ""CD"": ""4"", ""Vote"": ""NO""}, {""Member Name"": ""MONICA RODRIGUEZ"", ""CD"": ""7"", ""Vote"": ""YES""}, {""Member Name"": ""HUGO SOTO-MARTINEZ"", ""CD"": ""13"", ""Vote"": ""NO""}, {""Member Name"": ""KATY YAROSLAVSKY"", ""CD"": ""5"", ""Vote"": ""NO""}]"
26,North Hollywood Red/Orange Line Station - Active Railway,23-4118-S2,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=23-4118-S2,2,2023-02-03,2023-02-17,2025-02-15,PAUL KREKORIAN,TIM MCOSKER,"[{'lat': 34.16919442371078, 'lng': -118.37507786773803}]","[{""Member Name"": ""(VACANT) (VACANT)"", ""CD"": ""6"", ""Vote"": ""ABSENT""}, {""Member Name"": ""BOB BLUMENFIELD"", ""CD"": ""3"", ""Vote"": ""YES""}, {""Member Name"": ""KEVIN DELEON"", ""CD"": ""14"", ""Vote"": ""YES""}, {""Member Name"": ""MARQUEECE HARRIS-DAWSON"", ""CD"": ""8"", ""Vote"": ""NO""}, {""Member Name"": ""EUNISSES HERNANDEZ"", ""CD"": ""1"", ""Vote"": ""ABSENT""}, {""Member Name"": ""HEATHER HUTT"", ""CD"": ""10"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KREKORIAN"", ""CD"": ""2"", ""Vote"": ""YES""}, {""Member Name"": ""JOHN LEE"", ""CD"": ""12"", ""Vote"": ""YES""}, {""Member Name"": ""TIM MCOSKER"", ""CD"": ""15"", ""Vote"": ""YES""}, {""Member Name"": ""TRACI PARK"", ""CD"": ""11"", ""Vote"": ""YES""}, {""Member Name"": ""CURREN D. PRICE"", ""CD"": ""9"", ""Vote"": ""YES""}, {""Member Name"": ""NITHYA RAMAN"", ""CD"": ""4"", ""Vote"": ""NO""}, {""Member Name"": ""MONICA RODRIGUEZ"", ""CD"": ""7"", ""Vote"": ""YES""}, {""Member Name"": ""HUGO SOTO-MARTINEZ"", ""CD"": ""13"", ""Vote"": ""NO""}, {""Member Name"": ""KATY YAROSLAVSKY"", ""CD"": ""5"", ""Vote"": ""NO""}]"
27,1st Street - 1st Street Viaduct,23-4118-S5,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=23-4118-S5,14,2023-11-03,2023-12-13,2025-12-08,KEVIN DE LEON,MONICA RODRIGUEZ,"[{'lat': 34.0479569, 'lng': -118.2300683}]","[{""Member Name"": ""BOB BLUMENFIELD"", ""CD"": ""3"", ""Vote"": ""YES""}, {""Member Name"": ""KEVIN DELEON"", ""CD"": ""14"", ""Vote"": ""YES""}, {""Member Name"": ""MARQUEECE HARRIS-DAWSON"", ""CD"": ""8"", ""Vote"": ""NO""}, {""Member Name"": ""EUNISSES HERNANDEZ"", ""CD"": ""1"", ""Vote"": ""NO""}, {""Member Name"": ""HEATHER HUTT"", ""CD"": ""10"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KREKORIAN"", ""CD"": ""2"", ""Vote"": ""YES""}, {""Member Name"": ""JOHN LEE"", ""CD"": ""12"", ""Vote"": ""YES""}, {""Member Name"": ""TIM MCOSKER"", ""CD"": ""15"", ""Vote"": ""YES""}, {""Member Name"": ""IMELDA PADILLA"", ""CD"": ""6"", ""Vote"": ""YES""}, {""Member Name"": ""TRACI PARK"", ""CD"": ""11"", ""Vote"": ""YES""}, {""Member Name"": ""CURREN D. PRICE"", ""CD"": ""9"", ""Vote"": ""ABSENT""}, {""Member Name"": ""NITHYA RAMAN"", ""CD"": ""4"", ""Vote"": ""NO""}, {""Member Name"": ""MONICA RODRIGUEZ"", ""CD"": ""7"", ""Vote"": ""YES""}, {""Member Name"": ""HUGO SOTO-MARTINEZ"", ""CD"": ""13"", ""Vote"": ""NO""}, {""Member Name"": ""KATY YAROSLAVSKY"", ""CD"": ""5"", ""Vote"": ""NO""}]"
28,Ballona Wetlands Ecological Reserve,23-4118-S6,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=23-4118-S6,11,2023-11-14,2025-03-06,2025-12-08,TRACI PARK,"CURREN D. PRICE, JR.","[{'lat': 33.9702313, 'lng': -118.4384246}]","[{""Member Name"": ""BOB BLUMENFIELD"", ""CD"": ""3"", ""Vote"": ""YES""}, {""Member Name"": ""KEVIN DELEON"", ""CD"": ""14"", ""Vote"": ""YES""}, {""Member Name"": ""MARQUEECE HARRIS-DAWSON"", ""CD"": ""8"", ""Vote"": ""YES""}, {""Member Name"": ""EUNISSES HERNANDEZ"", ""CD"": ""1"", ""Vote"": ""NO""}, {""Member Name"": ""HEATHER HUTT"", ""CD"": ""10"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KREKORIAN"", ""CD"": ""2"", ""Vote"": ""YES""}, {""Member Name"": ""JOHN LEE"", ""CD"": ""12"", ""Vote"": ""YES""}, {""Member Name"": ""TIM MCOSKER"", ""CD"": ""15"", ""Vote"": ""YES""}, {""Member Name"": ""IMELDA PADILLA"", ""CD"": ""6"", ""Vote"": ""YES""}, {""Member Name"": ""TRACI PARK"", ""CD"": ""11"", ""Vote"": ""YES""}, {""Member Name"": ""CURREN D. PRICE"", ""CD"": ""9"", ""Vote"": ""ABSENT""}, {""Member Name"": ""NITHYA RAMAN"", ""CD"": ""4"", ""Vote"": ""NO""}, {""Member Name"": ""MONICA RODRIGUEZ"", ""CD"": ""7"", ""Vote"": ""YES""}, {""Member Name"": ""HUGO SOTO-MARTINEZ"", ""CD"": ""13"", ""Vote"": ""NO""}, {""Member Name"": ""KATY YAROSLAVSKY"", ""CD"": ""5"", ""Vote"": ""NO""}]"
29,11301 Wilshire Boulevard - West Los Angeles VA Medical Center,23-4118-S6,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=23-4118-S6,11,2023-11-14,2025-03-06,2025-12-08,TRACI PARK,"CURREN D. PRICE, JR.","[{'lat': 34.0529291, 'lng': -118.4529084}]","[{""Member Name"": ""BOB BLUMENFIELD"", ""CD"": ""3"", ""Vote"": ""YES""}, {""Member Name"": ""KEVIN DELEON"", ""CD"": ""14"", ""Vote"": ""YES""}, {""Member Name"": ""MARQUEECE HARRIS-DAWSON"", ""CD"": ""8"", ""Vote"": ""YES""}, {""Member Name"": ""EUNISSES HERNANDEZ"", ""CD"": ""1"", ""Vote"": ""NO""}, {""Member Name"": ""HEATHER HUTT"", ""CD"": ""10"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KREKORIAN"", ""CD"": ""2"", ""Vote"": ""YES""}, {""Member Name"": ""JOHN LEE"", ""CD"": ""12"", ""Vote"": ""YES""}, {""Member Name"": ""TIM MCOSKER"", ""CD"": ""15"", ""Vote"": ""YES""}, {""Member Name"": ""IMELDA PADILLA"", ""CD"": ""6"", ""Vote"": ""YES""}, {""Member Name"": ""TRACI PARK"", ""CD"": ""11"", ""Vote"": ""YES""}, {""Member Name"": ""CURREN D. PRICE"", ""CD"": ""9"", ""Vote"": ""ABSENT""}, {""Member Name"": ""NITHYA RAMAN"", ""CD"": ""4"", ""Vote"": ""NO""}, {""Member Name"": ""MONICA RODRIGUEZ"", ""CD"": ""7"", ""Vote"": ""YES""}, {""Member Name"": ""HUGO SOTO-MARTINEZ"", ""CD"": ""13"", ""Vote"": ""NO""}, {""Member Name"": ""KATY YAROSLAVSKY"", ""CD"": ""5"", ""Vote"": ""NO""}]"
